name,facility_type,prefecture,city,address,postal_code,latitude,longitude,osm_type,osm_id,website
茨城県立水戸南高等学校 グラウンド,陸上競技場・トラック,茨城県,,,,36.3607528,140.4785675,way,95110613,
茨城県立水戸第三高校 テニスコート,陸上競技場・トラック,茨城県,,,,36.3738078,140.4823584,way,298258627,
大宮運動公園 多目的広場,陸上競技場・トラック,茨城県,,,,36.5740541,140.4000921,way,468169505,
多目的グラウンド,陸上競技場・トラック,茨城県,,,,36.1012104,140.1087133,way,486983044,
虹の広場,陸上競技場・トラック,茨城県,,,,36.1143582,140.098584,way,486988608,
日立市市民運動公園 陸上競技場,陸上競技場・トラック,茨城県,,,,36.5758152,140.648617,way,608078674,
日立製作所国分グラウンド,陸上競技場・トラック,茨城県,,,,36.5616788,140.6402258,way,627188980,
春日グランド,陸上競技場・トラック,茨城県,,,,36.0869557,140.1044682,way,767763306,
多目的グラウンド,陸上競技場・トラック,茨城県,,,,36.1041256,140.1120702,way,1064080731,
足利市総合運動公園 陸上競技場,陸上競技場・トラック,栃木県,,,,36.344884,139.460869,way,146162732,
馬頭運動場,陸上競技場・トラック,栃木県,,,,36.7421298,140.1645318,way,170354547,
下田原運動場,陸上競技場・トラック,栃木県,,,,36.619381,139.9233651,way,185495235,
屋板運動場,陸上競技場・トラック,栃木県,,,,36.5210324,139.8955368,way,196343034,
陸上競技場,陸上競技場・トラック,栃木県,,,,36.4625417,139.8097243,way,198520910,
土塔二グラウンド,陸上競技場・トラック,栃木県,,,,36.3013439,139.8243605,way,439261140,
佐野東高校グラウンド,陸上競技場・トラック,栃木県,,,,36.3126361,139.586339,way,467874064,
西方南グラウンド,陸上競技場・トラック,栃木県,,,,36.456968,139.7576325,way,481201114,
カンセキスタジアムとちぎ,競技場,栃木県,宇都宮市,宇都宮市 西川田2丁目 4番地,321-0152,36.5150197,139.8574534,way,1025951191,
栃木県総合運動公園 第2陸上競技場,陸上競技場・トラック,栃木県,,,,36.510418,139.8571467,way,1327267263,
多目的広場,陸上競技場・トラック,群馬県,,,,36.3466266,139.2555553,node,4528483445,
正田醤油スタジアム群馬,競技場,群馬県,,,,36.4116074,139.0531889,way,122482944,
浜川競技場,競技場,群馬県,,,,36.3662765,138.9877729,way,178175894,
高崎経済大学附属高等学校グラウンド,陸上競技場・トラック,群馬県,,,,36.3686112,138.9843083,way,178175972,
陸上競技場,陸上競技場・トラック,群馬県,,,,36.4098417,139.3247387,way,243544319,
補助競技場,陸上競技場・トラック,群馬県,,,,36.3411899,139.1930704,way,252838705,
補助グランド,陸上競技場・トラック,群馬県,,,,36.4481965,139.1780933,way,306973565,
陸上競技場,陸上競技場・トラック,群馬県,,,,36.4459079,139.1759753,way,307242786,
陸上競技場,陸上競技場・トラック,群馬県,,,,36.3415232,139.1951679,way,315098941,
陸上競技場,陸上競技場・トラック,群馬県,,,,36.2716325,138.8692979,way,342653451,
バッテリーカー,陸上競技場・トラック,群馬県,,,,36.3183659,139.3672569,way,791213280,
多目的芝生広場,陸上競技場・トラック,埼玉県,,,,36.0004563,139.6576774,node,4526446653,
自由広場,陸上競技場・トラック,埼玉県,,,,36.0041619,139.651509,node,4526446920,
ニュースポーツエリア,陸上競技場・トラック,埼玉県,,,,35.8519454,139.5991248,node,4553999358,
生涯スポーツエリア,陸上競技場・トラック,埼玉県,,,,35.8516677,139.6004069,node,4553999537,
三ツ池グラウンド,陸上競技場・トラック,埼玉県,,,,35.8504146,139.6017567,node,4553999633,
希望のくにグラウンド,陸上競技場・トラック,埼玉県,,,,35.8487473,139.6033393,node,4553999655,
多目的広場,陸上競技場・トラック,埼玉県,,,,35.9500602,139.7083229,node,4813141511,
さきたま広場,陸上競技場・トラック,埼玉県,,,,36.1276152,139.4741875,node,4855361557,
多目的広場,陸上競技場・トラック,埼玉県,,,,36.005511,139.7150445,node,4959979446,
小広場,陸上競技場・トラック,埼玉県,,,,36.0047776,139.7163239,node,4959979447,
いこいの広場,陸上競技場・トラック,埼玉県,,,,35.986714,139.6090892,node,5162295245,
桜の広場,陸上競技場・トラック,埼玉県,,,,36.0233112,139.769543,node,5214703366,
ひだまり広場,陸上競技場・トラック,埼玉県,,,,36.0251583,139.7680342,node,5214703840,
芝生運動広場,陸上競技場・トラック,埼玉県,,,,36.0780835,139.369635,node,5659066163,
陸上競技場,陸上競技場・トラック,埼玉県,,,,35.8337172,139.3917214,node,5942235222,
eスポーツ教室 eSPアカデミー北浦和校,陸上競技場・トラック,埼玉県,,,,35.8717797,139.6450345,node,13916709305,
さいたまスーパーアリーナ,競技場,埼玉県,さいたま市,さいたま市 中央区 8,330-0081,35.8949531,139.630967,way,23876795,http://www.saitama-arena.co.jp/
山村学園月吉グランド,陸上競技場・トラック,埼玉県,,,,35.9187108,139.4705324,way,36770398,
市民グランド,陸上競技場・トラック,埼玉県,,,,35.9317205,139.4868484,way,44026227,
学校法人星野学園グランド,陸上競技場・トラック,埼玉県,,,,35.9288073,139.4685464,way,44820741,
大沼陸上競技場,陸上競技場・トラック,埼玉県,,,,35.9649085,139.7492356,way,119287112,
御稜威ケ原フィールド,陸上競技場・トラック,埼玉県,,,,36.1647032,139.3072399,way,125987485,
御稜威ケ原フィールド,陸上競技場・トラック,埼玉県,,,,36.1646569,139.3080398,way,125987499,
総合グラウンド,陸上競技場・トラック,埼玉県,,,,35.9829832,139.3699764,way,128510856,
多目的広場,陸上競技場・トラック,埼玉県,,,,36.0115611,139.6487815,way,132503645,
いこいの広場,陸上競技場・トラック,埼玉県,,,,35.9638827,139.3025366,way,158222442,
川島町民体育館,陸上競技場・トラック,埼玉県,,,,35.9912465,139.484889,way,159800042,
越谷ゴルフ,陸上競技場・トラック,埼玉県,,,,35.8616127,139.7817238,way,165289176,
狭山ゆうとグラウンド,陸上競技場・トラック,埼玉県,,,,35.8665128,139.40555,way,171636054,
陸上競技場,陸上競技場・トラック,埼玉県,,,,35.8605629,139.6067824,way,207324794,
熊谷高校校庭,陸上競技場・トラック,埼玉県,,,,36.1547721,139.3809892,way,296596809,
学校法人星野学園野球場,陸上競技場・トラック,埼玉県,,,,35.928631,139.4701976,way,383233460,
補助陸上競技場,陸上競技場・トラック,埼玉県,,,,36.1663589,139.4119937,way,385185042,
陸上競技場,陸上競技場・トラック,埼玉県,,,,36.0261872,139.7106548,way,387795928,
巾着田グラウンド,陸上競技場・トラック,埼玉県,,,,35.8827904,139.3120406,way,388275544,
蓮田松韻高校グラウンド,陸上競技場・トラック,埼玉県,,,,35.9995981,139.6752338,way,453704411,
多目的グラウンド,陸上競技場・トラック,埼玉県,,,,35.9919187,139.5252843,way,459329602,
トーモクグラウンド,陸上競技場・トラック,埼玉県,,,,35.993114,139.6739717,way,464477533,
陸上競技場,陸上競技場・トラック,埼玉県,,,,36.0829697,139.7520945,way,476109609,
多目的広場,陸上競技場・トラック,埼玉県,,,,36.177439,139.2737967,way,476958410,
仙元山運動公園陸上競技場,陸上競技場・トラック,埼玉県,,,,36.174989,139.2714615,way,476958464,
多目的広場,陸上競技場・トラック,埼玉県,,,,36.1747389,139.268782,way,476958477,
人間総合科学大学運動場,陸上競技場・トラック,埼玉県,,,,35.969292,139.6573472,way,483619852,
運動場,陸上競技場・トラック,埼玉県,,,,36.0152719,139.6783856,way,485833697,
多目的広場,陸上競技場・トラック,埼玉県,,,,36.0142415,139.6827259,way,485833755,
陸上競技場,陸上競技場・トラック,埼玉県,,,,36.0142825,139.6810163,way,485833761,
サブグランド,陸上競技場・トラック,埼玉県,,,,36.0132951,139.680254,way,485833772,
運動場,陸上競技場・トラック,埼玉県,,,,36.013655,139.6888675,way,489777935,
多目的広場,陸上競技場・トラック,埼玉県,,,,36.0440566,139.5522356,way,493882208,
RCカーコース,陸上競技場・トラック,埼玉県,,,,35.8720776,139.4105598,way,506984061,
町民グラウンド,陸上競技場・トラック,埼玉県,,,,35.9944245,139.1058772,way,539641668,
町民グラウンド,陸上競技場・トラック,埼玉県,,,,35.9942375,139.1069499,way,539641669,
埼玉県上尾運動公園陸上競技場,陸上競技場・トラック,埼玉県,,,,35.968996,139.6010103,way,561785464,
球技広場,陸上競技場・トラック,埼玉県,,,,36.1114979,139.7248735,way,578981167,
川島町総合運動場,陸上競技場・トラック,埼玉県,,,,35.9900619,139.4846407,way,591556986,
加須はさなき公園多目的グラウンド,陸上競技場・トラック,埼玉県,,,,36.1044702,139.6250183,way,594298976,
東松山陸上競技場,陸上競技場・トラック,埼玉県,,,,36.0530792,139.4133698,way,616422723,
多目的グラウンド,陸上競技場・トラック,埼玉県,,,,35.8624644,139.7465682,way,624703723,
熊谷スポーツ文化公園陸上競技場,陸上競技場・トラック,埼玉県,,,,36.163859,139.4109428,way,624714617,
荒川久下緑地グラウンド,陸上競技場・トラック,埼玉県,,,,36.1252053,139.4009575,way,695996856,
芝浦工業大学総合グラウンド,陸上競技場・トラック,埼玉県,,,,35.9525962,139.6561432,way,741970554,
ふじみ野市⽴スポーツセンター多⽬的グラウンド,陸上競技場・トラック,埼玉県,,,,35.8446783,139.4882655,way,903590612,
山田宏臣記念陸上競技場,陸上競技場・トラック,埼玉県,,,,35.9400548,139.5981779,way,966804246,
宮ケ谷戸総合グラウンド,陸上競技場・トラック,埼玉県,,,,35.9133914,139.3312279,way,996594749,
元郷避難広場,陸上競技場・トラック,埼玉県,,,,35.7971941,139.7352992,way,1007213380,
入間基地病院グラウンド陸上競技場,陸上競技場・トラック,埼玉県,,,,35.8362996,139.4023569,way,1280348818,
鶴馬1丁目多目的広場,陸上競技場・トラック,埼玉県,,,,35.8489828,139.5439083,way,1287953989,
西坂戸運動場,陸上競技場・トラック,埼玉県,,,,35.9262613,139.3312312,way,1352852884,
北入西運動公園,陸上競技場・トラック,埼玉県,,,,35.9786259,139.374017,way,1356534776,
北入西運動公園,陸上競技場・トラック,埼玉県,,,,35.9782449,139.3723474,way,1356534777,
唐子中央公園中央公園多目的広場,陸上競技場・トラック,埼玉県,,,,36.0270949,139.3640802,way,1395351309,
上唐子運動広場,陸上競技場・トラック,埼玉県,,,,36.0337502,139.3366036,way,1410867875,
競技トラック,陸上競技場・トラック,埼玉県,,,,35.9905051,139.8019746,relation,6995649,
陸上競技場,陸上競技場・トラック,埼玉県,,,,36.1638671,139.4110049,relation,8678075,
陸上競技場,陸上競技場・トラック,埼玉県,,,,36.1096049,139.3637902,relation,16253883,
陸上競技場,陸上競技場・トラック,埼玉県,,,,35.8205646,139.6658224,relation,19901286,https://toda-zaidan.org/sportscenter/shisetsu_sc/fieldtrack/
乗馬クラブ クレイン千葉,陸上競技場・トラック,千葉県,,,,35.608235,140.201429,node,3699251962,
県立船橋高等学校グラウンド,陸上競技場・トラック,千葉県,,,,35.6956278,140.004678,way,55679262,
あすみが丘野球グランド,陸上競技場・トラック,千葉県,,,,35.52929,140.2621409,way,111675098,
運動公園陸上競技場,陸上競技場・トラック,千葉県,,,,35.7306219,139.9965791,way,172090478,
まちかどスポーツ広場「金杉」,陸上競技場・トラック,千葉県,,,,35.7328195,140.0045192,way,207814604,
四街道総合公園多目的運動場,陸上競技場・トラック,千葉県,,,,35.6547777,140.1899118,way,217643525,https://www.city.yotsukaido.chiba.jp/kurashi/shisetsu/sports/tamokutekiundouzyo.html
鴨川市陸上競技場,陸上競技場・トラック,千葉県,,,,35.112004,140.0788625,way,228086896,
オフロード印西 デコボコランド,陸上競技場・トラック,千葉県,,,,35.8335919,140.1659404,way,264275638,
千葉市高洲高齢者スポーツ施設,陸上競技場・トラック,千葉県,,,,35.6252243,140.0644348,way,319963926,
まちかどスポーツ広場「旭町」,陸上競技場・トラック,千葉県,,,,35.7262812,139.985793,way,449195315,
高齢者スポーツ広場,陸上競技場・トラック,千葉県,,,,35.6605057,140.0810541,way,460739628,
習志野みのり幼稚園運動場,陸上競技場・トラック,千葉県,,,,35.6882105,140.0398248,way,469844448,
六実スポーツ広場,陸上競技場・トラック,千葉県,,,,35.7932577,139.9938252,way,640462102,
東京聖栄大学船橋グラウンド,陸上競技場・トラック,千葉県,,,,35.7595908,140.0345754,way,641032591,
オールサムズビーチスポーツパーク,陸上競技場・トラック,千葉県,,,,35.7320372,139.9912309,way,641933844,
青葉の森スポーツプラザ陸上競技場,陸上競技場・トラック,千葉県,,,,35.5949989,140.1450666,way,713365335,
貞元グラウンド,陸上競技場・トラック,千葉県,,,,35.3221849,139.9036306,way,724183765,
小出義雄記念陸上競技場,陸上競技場・トラック,千葉県,,,,35.7391548,140.2241773,way,967038376,
安田学園鎌ヶ谷総合グラウンド,陸上競技場・トラック,千葉県,,,,35.7855558,140.0108305,way,1011457113,
ふじ第二幼稚園運動場,陸上競技場・トラック,千葉県,,,,35.7493247,139.9843278,way,1020582838,
オーエンス陸上競技場,陸上競技場・トラック,千葉県,,,,35.4106319,139.9130584,way,1070936385,
八千代市総合グラウンド,陸上競技場・トラック,千葉県,,,,35.730778,140.1129441,way,1078280547,
青梅市民球技場,陸上競技場・トラック,東京都,,,,35.7770568,139.2912076,node,1611946305,http://www.city.ome.tokyo.jp/taiiku/shimin_kyujo.html
友田レクリエーション広場,陸上競技場・トラック,東京都,,,,35.7750069,139.2842242,node,1631269793,
