name,prefecture,city,website_url,latitude,longitude,source,source_id,wikipedia_title,discontinued
香住・ジオパークフルマラソン大会,兵庫県,,,,,wikipedia,Q30927271,香住・ジオパークフルマラソン大会,1
香川丸亀国際ハーフマラソン,香川県,,,,,wikipedia,Q1376156,香川丸亀国際ハーフマラソン,0
香川駅伝競走大会,香川県,,,,,wikipedia,Q11667597,香川駅伝競走大会,0
高新中学駅伝競走大会,高知県,,,,,wikipedia,Q11669949,高新中学駅伝競走大会,0
高槻シティハーフマラソン,大阪府,,,,,wikipedia,Q28067757,高槻シティハーフマラソン,0
高橋尚子杯ぎふ清流ハーフマラソン,岐阜県,,,35.44138889,136.7655556,wikipedia,Q15121934,高橋尚子杯ぎふ清流ハーフマラソン,0
高知龍馬マラソン,高知県,,,,,wikipedia,Q86743140,高知龍馬マラソン,0
鹿児島マラソン,鹿児島県,,https://www.kagoshima-marathon.jp/,,,wikipedia,Q24869424,鹿児島マラソン,0
鹿児島県下一周市郡対抗駅伝競走大会,鹿児島県,,,,,wikipedia,Q11676712,鹿児島県下一周市郡対抗駅伝競走大会,0
鹿島祐徳ロードレース大会,佐賀県,,,,,wikipedia,Q22123094,鹿島祐徳ロードレース大会,0
